URL,Status Code,Load Time,Title,Title Length,Meta Description,Meta Length,H1 Tags,Missing ALT Images,Broken Links,Broken Links List
https://glitterqueencreative.ca,200,0.203,Glitter Queen Creative: Handmade Jewelry & Custom Designs,57,"Explore Glitter Queen Creative's collection of handmade jewelry & accessories from Vancouver. Discover custom glasses chains, pendants, rhinestone pieces & more",160,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/about/,200,0.085,About Glitter Queen Creative | Handmade Jewelry & Accessories,61,Learn about the story behind Glitter Queen Creative and artisan Emily Daft. Discover her passion for crafting unique bohemian-inspired jewelry.,143,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/shop/,200,0.118,Shop Handmade Jewelry & Accessories | Glitter Queen Creative,60,"Shop our collection of bohemian-inspired handmade jewelry, including glasses chains, necklaces, earrings, headwear & sunglasses.",128,0,5,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/custom-jewelry-designs/,200,0.104,Custom Jewelry Design Services | Glitter Queen Creative,55,"Collaborate with Glitter Queen Creative on a custom jewelry design; glasses chains, feathered earrings & rhinestone accessories designed for you.",145,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/blog-queen/,200,0.067,Blog Queen Creative | Glitter Queen Creative,44,Find great tips for creative crafting on Blog Queen Creative brought to you by Glitter Queen Creative: Handmade Jewelry & Custom Designs,136,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/my-account/,200,0.061,My Account | Glitter Queen Creative,35,"Access ""My Account"" to track orders, manage custom design requests, earn loyalty rewards, and shop bohemian-inspired handmade jewelry and accessories.",150,0,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/contact/,200,0.107,Contact Us | Glitter Queen Creative,35,"Have questions or special requests? Contact Glitter Queen Creative to learn more about our handmade jewelry, custom designs, or shop policies. We're here to help.",162,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/cart/,200,2.973,Cart | Glitter Queen Creative,29,Cart. Review the handmade jewelry and accessories in you've selected,68,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/product/youth-flower-fantasy-sunglasses/,200,0.085,Youth Flower Fantasy Sunglasses | Glitter Queen Creative,56,"Youth Flower Fantasy Sunglasses - Add a touch of style with these youth flower fantasy sunglasses, perfect for festival and daily wear.",135,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/product/unakite-necklace/,200,0.083,Unakite Necklace | Glitter Queen Creative,41,"Unakite Necklace - Add a touch of style with these unakite necklace, perfect for festival and daily wear.",105,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/product/stone-pendant-necklace/,200,0.102,Stone Pendant necklace | Glitter Queen Creative,47,"Stone Pendant necklace - Add a touch of style with these stone pendant necklace, perfect for festival and daily wear.",117,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca?add-to-cart=2058,200,0.091,Glitter Queen Creative: Handmade Jewelry & Custom Designs,57,"Explore Glitter Queen Creative's collection of handmade jewelry & accessories from Vancouver. Discover custom glasses chains, pendants, rhinestone pieces & more",160,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/product/ruby-zousite-necklace/,200,0.069,Ruby Zousite Necklace | Glitter Queen Creative,46,"Ruby Zousite Necklace - Add a touch of style with these ruby zousite necklace, perfect for festival and daily wear.",115,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
https://glitterqueencreative.ca/product/floral-headband/,200,0.089,Floral Headband | Glitter Queen Creative,40,"Floral Headband - Add a touch of style with these floral headband, perfect for festival and daily wear.",103,1,2,2,"['https://www.etsy.com/shop/GlitterQueenCreative?ref=shop_sugg_market', 'http://webattraction.ca']"
